Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
cybersecurity analyst,entertainment,small,dubai,medium,High,ux ui design,111392.16524315962,Yes,Growth
marketing specialist,technology,large,singapore,medium,High,marketing,93792.56246610906,No,Decline
ai researcher,technology,large,singapore,medium,High,ux ui design,107170.26306894996,Yes,Growth
sales manager,retail,small,berlin,low,High,project management,93027.95375786416,No,Growth
cybersecurity analyst,entertainment,small,tokyo,low,Low,javascript,87752.92217059238,Yes,Decline
ux designer,education,large,san francisco,medium,Medium,cybersecurity,102825.0078665678,No,Growth
hr manager,finance,medium,singapore,low,High,sales,102065.72067347592,Yes,Growth
cybersecurity analyst,technology,small,dubai,medium,Low,machine learning,86607.3176180969,Yes,Decline
ai researcher,retail,large,london,high,Low,javascript,75015.86084571481,No,Stable
sales manager,entertainment,medium,singapore,high,Low,cybersecurity,96834.57829480869,Yes,Decline
marketing specialist,finance,small,london,high,High,python,91566.97337925188,Yes,Growth
ai researcher,entertainment,medium,singapore,medium,High,ux ui design,78902.56574458485,No,Growth
ai researcher,transportation,large,san francisco,high,Medium,python,73151.99034926406,Yes,Growth
hr manager,retail,small,paris,low,High,cybersecurity,98209.51687788912,Yes,Decline
product manager,finance,medium,singapore,high,High,javascript,101001.90114055388,Yes,Growth
sales manager,telecommunications,small,dubai,high,Low,ux ui design,82799.35770690278,No,Growth
software engineer,manufacturing,medium,singapore,high,Medium,machine learning,78401.25928174148,No,Decline
ai researcher,manufacturing,large,tokyo,low,High,project management,73394.89621925619,No,Stable
product manager,finance,large,san francisco,medium,High,ux ui design,97645.09878289838,Yes,Stable
software engineer,entertainment,small,dubai,low,Low,ux ui design,73920.45852718527,Yes,Growth
sales manager,retail,medium,sydney,medium,Low,javascript,134822.69138041462,Yes,Decline
data scientist,manufacturing,small,dubai,medium,High,javascript,81794.37128058006,Yes,Growth
ux designer,retail,small,tokyo,high,Medium,cybersecurity,41495.71444254798,No,Decline
product manager,manufacturing,medium,paris,medium,Medium,data analysis,89396.5666674173,Yes,Decline
operations manager,transportation,medium,san francisco,low,Low,ux ui design,88539.33040362394,Yes,Stable
data scientist,entertainment,medium,sydney,low,Low,sales,112234.37135048377,Yes,Stable
ux designer,transportation,large,tokyo,medium,High,ux ui design,95762.52473455408,No,Decline
hr manager,manufacturing,small,tokyo,high,Low,cybersecurity,73323.29633120395,Yes,Growth
cybersecurity analyst,telecommunications,small,new york,high,High,marketing,84272.16253006447,Yes,Stable
marketing specialist,telecommunications,large,san francisco,low,Medium,python,96548.39543301976,Yes,Growth
operations manager,transportation,medium,dubai,high,Medium,project management,46705.714993791786,Yes,Stable
hr manager,telecommunications,large,london,medium,High,data analysis,116772.434687809,Yes,Stable
sales manager,manufacturing,large,paris,medium,Low,machine learning,73376.6022839067,No,Growth
hr manager,finance,large,london,low,Medium,machine learning,118340.87641895234,Yes,Stable
cybersecurity analyst,transportation,small,dubai,medium,Low,machine learning,97849.30282253175,Yes,Stable
sales manager,healthcare,large,dubai,low,Medium,javascript,102591.88272787948,Yes,Growth
operations manager,entertainment,small,san francisco,medium,High,machine learning,112988.46872002544,Yes,Stable
cybersecurity analyst,telecommunications,small,dubai,low,High,project management,101462.64105384996,Yes,Stable
software engineer,telecommunications,small,new york,high,High,python,103457.72432634902,Yes,Stable
marketing specialist,technology,medium,sydney,medium,Medium,machine learning,86711.67119077238,Yes,Growth
operations manager,education,small,dubai,medium,Low,ux ui design,97443.3736294419,Yes,Decline
software engineer,transportation,small,london,low,Low,ux ui design,78250.04370056515,Yes,Growth
ux designer,energy,medium,dubai,low,Low,javascript,83131.77800824065,Yes,Decline
operations manager,telecommunications,small,new york,medium,Medium,project management,129293.90095937817,No,Stable
ux designer,entertainment,large,singapore,low,Medium,python,73836.12829899156,No,Decline
sales manager,healthcare,large,singapore,medium,Medium,data analysis,93086.3425327256,No,Growth
software engineer,telecommunications,small,tokyo,high,Medium,cybersecurity,92269.38073430952,No,Growth
marketing specialist,healthcare,medium,paris,low,Medium,python,83784.91056438402,Yes,Stable
cybersecurity analyst,manufacturing,large,berlin,medium,Low,cybersecurity,100288.01873140877,No,Decline
ai researcher,manufacturing,medium,sydney,high,Medium,marketing,101794.44185482766,No,Stable
hr manager,education,medium,toronto,high,Medium,cybersecurity,71483.61633704841,Yes,Stable
data scientist,finance,large,tokyo,medium,Low,sales,92027.13423093104,No,Growth
marketing specialist,energy,medium,paris,low,Medium,ux ui design,68352.65322455287,No,Decline
software engineer,technology,large,singapore,medium,Low,project management,105770.97236634602,Yes,Decline
ai researcher,education,medium,london,high,Low,communication,93529.74620725252,Yes,Decline
marketing specialist,retail,large,toronto,medium,High,javascript,91646.59773434176,Yes,Decline
software engineer,technology,small,paris,low,High,sales,103180.62697744806,No,Stable
product manager,transportation,large,paris,high,High,cybersecurity,84489.79419063198,No,Stable
product manager,entertainment,large,tokyo,medium,High,machine learning,108280.43918436408,Yes,Growth
ux designer,retail,large,toronto,low,Medium,project management,71031.10254487729,Yes,Stable
marketing specialist,retail,large,san francisco,high,High,sales,118237.53037789057,No,Stable
product manager,education,medium,berlin,low,Low,javascript,78981.77634890293,Yes,Growth
software engineer,finance,small,san francisco,high,Medium,ux ui design,56076.41864608825,No,Growth
ux designer,education,large,toronto,medium,High,project management,83429.30183074536,Yes,Growth
software engineer,transportation,medium,san francisco,low,Low,javascript,81160.63605491581,Yes,Stable
ux designer,telecommunications,small,new york,high,Medium,marketing,83278.52027699928,No,Stable
marketing specialist,telecommunications,small,singapore,low,Medium,marketing,94632.96030967963,Yes,Growth
ai researcher,finance,small,new york,low,High,javascript,111956.84721776543,Yes,Growth
cybersecurity analyst,transportation,small,dubai,medium,Medium,sales,86165.88172205727,Yes,Growth
operations manager,finance,large,san francisco,low,Low,project management,76167.64860362199,No,Stable
ai researcher,healthcare,large,dubai,high,Medium,sales,67469.06375432406,Yes,Stable
sales manager,telecommunications,medium,london,high,Low,data analysis,80636.34417381912,Yes,Decline
software engineer,retail,medium,sydney,high,Medium,cybersecurity,52243.50321499295,Yes,Stable
sales manager,energy,medium,london,high,High,data analysis,75497.33812967277,Yes,Stable
ai researcher,entertainment,small,toronto,medium,Low,marketing,114881.07791724372,Yes,Stable
ux designer,transportation,small,paris,low,Medium,ux ui design,73532.81590843154,Yes,Growth
operations manager,technology,large,singapore,medium,Medium,python,102574.31721600612,No,Stable
operations manager,finance,small,san francisco,low,Medium,cybersecurity,65470.358203830205,No,Growth
data scientist,entertainment,small,tokyo,low,Low,marketing,125421.91798621108,Yes,Decline
operations manager,technology,small,sydney,low,Low,sales,126752.1346612942,No,Decline
cybersecurity analyst,entertainment,medium,berlin,medium,Low,sales,101820.43113119752,No,Growth
operations manager,energy,medium,berlin,low,High,sales,129825.05203287044,Yes,Growth
ai researcher,technology,large,berlin,medium,High,ux ui design,97115.85949855324,No,Growth
data scientist,education,small,san francisco,high,Low,data analysis,105370.34228299111,No,Stable
ai researcher,manufacturing,small,berlin,high,Medium,python,115238.6775346307,No,Decline
ai researcher,education,large,new york,low,High,sales,93594.369061969,No,Growth
hr manager,telecommunications,small,sydney,medium,Low,communication,58952.450768298775,No,Stable
data scientist,manufacturing,small,new york,high,Medium,cybersecurity,105779.26710468795,No,Decline
ai researcher,education,medium,paris,medium,High,project management,80562.80811133073,No,Stable
hr manager,manufacturing,large,sydney,medium,Medium,communication,82049.4035808908,No,Decline
hr manager,manufacturing,large,new york,low,Medium,python,95957.8983295738,Yes,Stable
data scientist,retail,large,sydney,high,Medium,ux ui design,101325.6175943474,Yes,Decline
sales manager,finance,large,paris,low,Medium,python,93002.69268012435,No,Decline
ux designer,finance,medium,dubai,low,High,project management,102714.59072314618,No,Stable
cybersecurity analyst,retail,medium,san francisco,high,High,cybersecurity,75862.85731879607,Yes,Growth
ux designer,entertainment,small,san francisco,high,High,project management,89145.92410553433,No,Decline
operations manager,healthcare,small,berlin,medium,Low,javascript,106981.70900901742,No,Growth
cybersecurity analyst,entertainment,small,london,high,High,cybersecurity,125455.82352873433,Yes,Stable
operations manager,technology,small,berlin,medium,Medium,python,132528.71177946418,Yes,Growth
